,id,r1state,r1string,r2state,r2string,r3state,r3string,r4state,r4string,r5state,r5string,r6state,r6string,r7state,r7string,r8state,r8string,r3count,r5count,netprod,errprod,shiftstate,shift,ctime
0,603,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:35:20
1,604,1, ,1, ,1, ,1, ,0, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:36:56
2,605,1, ,1, ,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:37:00
3,606,1, ,0, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:37:32
4,607,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:37:37
5,608,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Mavi,2022-01-18 22:37:57
6,609,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Mavi,2022-01-18 22:38:06
7,610,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Mavi,2022-01-18 22:38:07
8,611,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:38:08
9,612,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:38:15
10,613,1, ,1, ,0, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:39:35
11,614,1, ,1, ,0,Sensor Arizasi,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:39:41
12,615,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:41:32
13,616,0, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:44:05
14,617,0,Sensor Arizasi,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:44:10
15,618,0,Sensor Arizasi,1, ,1, ,0, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:44:17
16,619,0,Sensor Arizasi,1, ,1, ,0,Zimpara Degisimi,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:44:22
17,620,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 22:45:59
18,621,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 22:48:03
19,622,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Mavi,2022-01-18 23:19:23
20,623,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Mavi,2022-01-18 23:19:31
21,624,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Mavi,2022-01-18 23:19:33
22,625,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Mavi,2022-01-18 23:19:35
23,626,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Mavi,2022-01-18 23:49:25
24,627,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,,2022-01-19 08:34:10
25,628,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0, ,2022-01-19 08:34:41
26,629,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 08:35:02
27,630,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 08:35:25
28,631,0, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 08:36:16
29,632,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 08:36:24
30,633,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 08:36:45
31,634,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 08:36:56
32,635,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Kirmizi,2022-01-19 08:36:57
33,636,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:36:58
34,637,1, ,1, ,0, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:37:03
35,638,1, ,1, ,0,Zimpara Degisimi,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:37:07
36,639,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:42:18
37,640,0, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:59:13
38,641,0,Sensor Arizasi,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 08:59:18
39,642,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 09:34:54
40,643,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 09:35:03
41,644,1, ,1, ,0, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 10:06:16
42,645,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 10:06:22
43,646,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 10:17:32
44,647,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 10:18:09
45,648,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 10:18:17
46,649,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Kirmizi,2022-01-19 10:18:18
47,650,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 10:18:19
48,651,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:04:55
49,652,1, ,1, ,0, ,0, ,0, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:31:37
50,653,1, ,1, ,0,Kanban Durusu,0, ,0, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:31:47
51,654,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:31:49
52,655,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:31:50
53,656,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 11:54:06
54,657,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 11:54:11
55,658,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Kirmizi,2022-01-19 11:54:20
56,659,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Kirmizi,2022-01-19 11:54:21
57,660,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Kirmizi,2022-01-19 11:54:23
58,661,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Kirmizi,2022-01-19 12:48:50
59,662,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,,2022-01-19 12:56:06
60,663,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0, ,2022-01-19 12:56:19
61,664,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0, ,2022-01-19 12:56:29
62,665,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0, ,2022-01-19 12:56:37
63,666,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 12:57:01
64,667,1, ,1, ,0, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 13:53:31
65,668,1, ,1, ,0,Zimpara Degisimi,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 13:53:35
66,669,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 14:43:59
67,670,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,0,0,0,0,0,Beyaz,2022-01-19 15:17:35
68,671,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,0,0,0,0,0,Beyaz,2022-01-19 15:17:44
69,672,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,0,0,0,0,0,Beyaz,2022-01-19 15:17:45
70,673,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,0,0,0,0,0,Beyaz,2022-01-19 15:17:46
71,674,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 15:18:14
72,675,1, ,1, ,1, ,1, ,0, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 15:19:39
73,676,1, ,1, ,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 15:19:42
74,677,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,Beyaz,2022-01-19 15:20:01
75,678,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,5,4,8,2,0, ,2022-01-19 23:10:04
76,679,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,5,4,8,2,0, ,2022-01-19 23:11:06
77,680,1, ,1, ,1, ,1, ,0, ,0, ,1, ,1, ,5,4,8,2,0, ,2022-01-19 23:12:26
78,681,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,1, ,1, ,5,4,8,2,0, ,2022-01-19 23:12:33
79,682,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,1, ,1, ,5,4,8,2,0, ,2022-01-19 23:12:35
80,683,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,1, ,1, ,5,4,8,2,0,Mavi,2022-01-19 23:12:59
81,684,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,5,4,8,2,0,Mavi,2022-01-19 23:18:01
82,685,1, ,1, ,1, ,1, ,1, ,0, ,0, ,0, ,5,4,8,2,0,Mavi,2022-01-19 23:21:07
83,686,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0, ,0, ,5,4,8,2,0,Mavi,2022-01-19 23:21:16
84,687,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0, ,5,4,8,2,0,Mavi,2022-01-19 23:21:18
85,688,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,5,4,8,2,0,Mavi,2022-01-19 23:21:20
86,689,1, ,1, ,1, ,1, ,1, ,0,Kanban Durusu,0,Kanban Durusu,0,Kanban Durusu,18,8,24,2,0,Mavi,2022-01-19 23:21:44
87,690,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,18,8,24,2,0,Mavi,2022-01-19 23:23:25
88,691,1, ,1, ,1, ,1, ,0, ,1, ,1, ,1, ,18,8,24,2,0,Mavi,2022-01-19 23:23:30
89,692,1, ,1, ,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,18,8,24,2,0,Mavi,2022-01-19 23:23:34
90,693,1, ,1, ,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,18,8,24,2,0,Kirmizi,2022-01-19 23:23:51
91,694,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,18,8,24,2,0,Kirmizi,2022-01-19 23:26:12
92,695,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,9,4,15,1,0,Kirmizi,2022-01-19 23:27:47
93,696,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,2022-01-19 23:40:16
94,697,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,2022-01-19 23:40:48
95,698,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,0,0,2022-01-19 23:40:50
96,699,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,1,1,2022-01-19 23:41:00
97,700,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,0,0,0,0,1,Beyaz,2022-01-19 23:43:04
98,701,1, ,1, ,1, ,1, ,0, ,1, ,1, ,1, ,0,0,0,0,1,Beyaz,2022-01-19 23:44:20
99,702,1, ,1, ,1, ,1, ,0,Sensor Arizasi,1, ,1, ,1, ,0,0,0,0,1,Beyaz,2022-01-19 23:44:24
